truck,car,motor,bus,train,build,sky,wall,vaget,bike,road,terrain,pole,bridge,person,traffic sign,side walk,traffic light,rider,lat,lng
0.00198555,0.000680923,1.91E-06,5.72E-06,,0.608909607,0.000127792,3.81E-06,0.154258728,0.000202179,0.109874725,0.061927795,0.033994675,0.027931213,,9.54E-06,0.001018524,3.24E-05,1.14E-05,113.8878252,22.69337641
0.001699448,0.006055832,5.91E-05,,,0.094041824,0.576524734,3.62E-05,0.127506256,0.001451492,0.129188538,0.003604889,0.002126694,0.033763885,0.00056076,0.009529114,0.014816284,1.14E-05,,114.0782952,22.64357046
1.91E-06,0.001585007,,,,0.02265358,0.182790756,0.000566483,0.55078125,1.91E-06,0.146522522,6.68E-05,0.003559113,0.075790405,0.000919342,0.00019455,0.015542984,,,113.8792635,22.57517763
0.010570526,0.004005432,,1.91E-06,,0.026075363,0.584886551,0.005493164,0.102415085,,0.198030472,0.032413483,0.00709343,0.02233696,0.000272751,0.000543594,0.006788254,4.96E-05,,114.1544135,22.62593279
,0.036308289,,,,0.000921249,0.328271866,,0.551298141,,0.070892334,0.011068344,0.00091362,8.77E-05,,,0.001214981,,,113.9399995,22.59033244
0.001319885,0.000646591,0.000200272,5.72E-06,1.91E-06,0.11425209,0.388309479,3.43E-05,0.240966797,0.003786087,0.080501556,3.62E-05,0.01909256,0.129096985,0.000591278,0.005395889,0.010105133,0.000362396,0.006271362,113.8788217,22.59298006
,0.000146866,,0.000335693,0.000150681,0.045045853,0.480192184,,0.227531433,,0.20634079,0.025547028,0.004507065,0.001523972,0.003011703,0.001680374,0.004785538,0.000177383,,113.9350502,22.51790258
0.059013367,0.054697037,0.001255035,1.34E-05,,0.107896805,0.493438721,,0.08637619,0.000209808,0.148445129,,0.00037384,0.00112915,0.007675171,0.001098633,0.039276123,,7.82E-05,113.8242317,22.67373248
0.001432419,0.013828278,0.000581741,,,0.242553711,0.294803619,0.000125885,0.192584991,0.006713867,0.212636948,0.000541687,0.004659653,0.014083862,0.001369476,0.001874924,0.012535095,2.10E-05,0.000629425,114.0877314,22.54325764
,0.05134201,,,,0.016611099,0.25736618,0.000209808,0.488424301,0.000146866,0.063056946,0.044965744,0.000268936,0.073785782,0.003318787,,0.001480103,,,114.1140202,22.57376426
,0.010311127,0.00030899,,,0.00028038,0.38902092,,0.384887695,0.000173569,0.153823853,0.003053665,0.006425858,0.025913239,1.91E-06,0.000247955,0.026525497,1.91E-06,,114.0106317,22.60880429
5.34E-05,0.00969696,0.000270844,,,0.06360054,0.428653717,,0.256261826,0.001466751,0.109472275,,0.005060196,0.087446213,0.000127792,0.005580902,0.033246994,3.81E-05,,114.1019939,22.55850261
,0.002233505,0.000106812,,,0.092437744,0.418148041,,0.344194412,,0.119213104,0.006214142,0.003124237,0.011716843,,0.003482819,8.01E-05,2.48E-05,,114.0626951,22.61888433
,0.00759697,0.000217438,,,0.082710266,0.148059845,,0.573371887,0.008270264,0.127260208,0.000896454,0.001771927,0.00831604,0.000934601,0.001461029,0.040107727,,1.91E-06,114.0224714,22.65296836
